_H:	|epoch	sum_sum_se	
_D:	597	1.00913		
_D:	598	1.00844		
_D:	599	1.00774		
_D:	600	1.00703		
_D:	601	1.00631		
_D:	602	1.00558		
_D:	603	1.00485		
_D:	604	1.0041		
_D:	605	1.00334		
_D:	606	1.00257		
_D:	607	1.00179		
_D:	608	1.001		
_D:	609	1.0002		
_D:	610	0.999388	
_D:	611	0.998565	
_D:	612	0.997732	
_D:	613	0.996888	
_D:	614	0.996033	
_D:	615	0.995167	
_D:	616	0.99429		
_D:	617	0.993401	
_D:	618	0.992501	
_D:	619	0.991589	
_D:	620	0.990666	
_D:	621	0.989731	
_D:	622	0.988785	
_D:	623	0.987827	
_D:	624	0.986857	
_D:	625	0.985875	
_D:	626	0.984882	
_D:	627	0.983877	
_D:	628	0.98286		
_D:	629	0.98183		
_D:	630	0.98079		
_D:	631	0.979737	
_D:	632	0.978672	
_D:	633	0.977595	
_D:	634	0.976506	
_D:	635	0.975405	
_D:	636	0.974293	
_D:	637	0.973168	
_D:	638	0.972032	
_D:	639	0.970883	
_D:	640	0.969723	
_D:	641	0.968552	
_D:	642	0.967368	
_D:	643	0.966174	
_D:	644	0.964967	
_D:	645	0.96375		
_D:	646	0.96252		
_D:	647	0.96128		
_D:	648	0.960029	
_D:	649	0.958767	
_D:	650	0.957494	
_D:	651	0.956211	
_D:	652	0.954916	
_D:	653	0.953612	
_D:	654	0.952298	
_D:	655	0.950973	
_D:	656	0.949639	
_D:	657	0.948295	
_D:	658	0.946942	
_D:	659	0.94558		
_D:	660	0.944209	
_D:	661	0.942829	
_D:	662	0.941441	
_D:	663	0.940045	
_D:	664	0.938641	
_D:	665	0.93723		
_D:	666	0.93581		
_D:	667	0.934384	
_D:	668	0.932952	
_D:	669	0.931513	
_D:	670	0.930067	
_D:	671	0.928616	
_D:	672	0.92716		
_D:	673	0.925698	
_D:	674	0.924231	
_D:	675	0.92276		
_D:	676	0.921285	
_D:	677	0.919806	
_D:	678	0.918323	
_D:	679	0.916838	
_D:	680	0.915349	
_D:	681	0.913859	
_D:	682	0.912366	
_D:	683	0.910871	
_D:	684	0.909376	
_D:	685	0.907879	
_D:	686	0.906381	
_D:	687	0.904884	
_D:	688	0.903386	
_D:	689	0.901889	
_D:	690	0.900393	
_D:	691	0.898897	
_D:	692	0.897403	
_D:	693	0.895912	
_D:	694	0.894422	
_D:	695	0.892935	
_D:	696	0.89145		
_D:	697	0.889969	
_D:	698	0.888491	
_D:	699	0.887017	
_D:	700	0.885548	
_D:	701	0.884082	
_D:	702	0.882621	
_D:	703	0.881166	
_D:	704	0.879715	
_D:	705	0.87827		
_D:	706	0.876831	
_D:	707	0.875398	
_D:	708	0.873971	
_D:	709	0.87255		
_D:	710	0.871137	
_D:	711	0.86973		
_D:	712	0.868331	
_D:	713	0.866939	
_D:	714	0.865555	
_D:	715	0.864179	
_D:	716	0.86281		
_D:	717	0.86145		
_D:	718	0.860098	
_D:	719	0.858755	
_D:	720	0.85742		
_D:	721	0.856094	
_D:	722	0.854777	
_D:	723	0.853469	
_D:	724	0.852171	
_D:	725	0.850881	
_D:	726	0.849602	
_D:	727	0.848331	
_D:	728	0.84707		
_D:	729	0.845819	
_D:	730	0.844577	
_D:	731	0.843346	
_D:	732	0.842124	
_D:	733	0.840912	
_D:	734	0.83971		
_D:	735	0.838518	
_D:	736	0.837336	
_D:	737	0.836164	
_D:	738	0.835002	
_D:	739	0.833851	
_D:	740	0.832709	
_D:	741	0.831578	
_D:	742	0.830456	
_D:	743	0.829345	
_D:	744	0.828243	
_D:	745	0.827152	
_D:	746	0.826071	
_D:	747	0.825		
_D:	748	0.823939	
_D:	749	0.822888	
_D:	750	0.821847	
_D:	751	0.820815	
_D:	752	0.819794	
_D:	753	0.818782	
_D:	754	0.81778		
_D:	755	0.816788	
_D:	756	0.815806	
_D:	757	0.814832	
_D:	758	0.813869	
_D:	759	0.812915	
_D:	760	0.811971	
_D:	761	0.811035	
_D:	762	0.810109	
_D:	763	0.809193	
_D:	764	0.808285	
_D:	765	0.807387	
_D:	766	0.806497	
_D:	767	0.805616	
_D:	768	0.804745	
_D:	769	0.803882	
_D:	770	0.803027	
_D:	771	0.802181	
_D:	772	0.801344	
_D:	773	0.800516	
_D:	774	0.799695	
_D:	775	0.798883	
_D:	776	0.798079	
_D:	777	0.797283	
_D:	778	0.796495	
_D:	779	0.795715	
_D:	780	0.794943	
_D:	781	0.794179	
_D:	782	0.793422	
_D:	783	0.792674	
_D:	784	0.791932	
_D:	785	0.791198	
_D:	786	0.790472	
_D:	787	0.789752	
_D:	788	0.78904		
_D:	789	0.788335	
_D:	790	0.787637	
_D:	791	0.786946	
_D:	792	0.786262	
_D:	793	0.785585	
_D:	794	0.784914	
_D:	795	0.78425		
_D:	796	0.783592	
_D:	797	0.782941	
_D:	798	0.782297	
_D:	799	0.781658	
_D:	800	0.781026	
_D:	801	0.7804		
_D:	802	0.77978		
_D:	803	0.779166	
_D:	804	0.778558	
_D:	805	0.777956	
_D:	806	0.77736		
_D:	807	0.776769	
_D:	808	0.776184	
_D:	809	0.775605	
_D:	810	0.775031	
_D:	811	0.774462	
_D:	812	0.773899	
_D:	813	0.773341	
_D:	814	0.772788	
_D:	815	0.772241	
_D:	816	0.771698	
_D:	817	0.771161	
_D:	818	0.770628	
_D:	819	0.770101	
_D:	820	0.769578	
_D:	821	0.76906		
_D:	822	0.768546	
_D:	823	0.768037	
_D:	824	0.767533	
_D:	825	0.767034	
_D:	826	0.766538	
_D:	827	0.766047	
_D:	828	0.765561	
_D:	829	0.765079	
_D:	830	0.764601	
_D:	831	0.764127	
_D:	832	0.763657	
_D:	833	0.763191	
_D:	834	0.762729	
_D:	835	0.762271	
_D:	836	0.761817	
_D:	837	0.761367	
_D:	838	0.760921	
_D:	839	0.760478	
_D:	840	0.760039	
_D:	841	0.759604	
_D:	842	0.759172	
_D:	843	0.758744	
_D:	844	0.758319	
_D:	845	0.757898	
_D:	846	0.75748		
_D:	847	0.757066	
_D:	848	0.756654	
_D:	849	0.756246	
_D:	850	0.755841	
_D:	851	0.75544		
_D:	852	0.755041	
_D:	853	0.754646	
_D:	854	0.754253	
_D:	855	0.753864	
_D:	856	0.753477	
_D:	857	0.753093	
_D:	858	0.752712	
_D:	859	0.752335	
_D:	860	0.751959	
_D:	861	0.751587	
_D:	862	0.751217	
_D:	863	0.75085		
_D:	864	0.750485	
_D:	865	0.750124	
_D:	866	0.749764	
_D:	867	0.749407	
_D:	868	0.749053	
_D:	869	0.748701	
_D:	870	0.748351	
_D:	871	0.748004	
_D:	872	0.74766		
_D:	873	0.747317	
_D:	874	0.746977	
_D:	875	0.746639	
_D:	876	0.746303	
_D:	877	0.745969	
_D:	878	0.745637	
_D:	879	0.745308	
_D:	880	0.74498		
_D:	881	0.744655	
_D:	882	0.744332	
_D:	883	0.74401		
_D:	884	0.743691	
_D:	885	0.743373	
_D:	886	0.743057	
_D:	887	0.742743	
_D:	888	0.742431	
_D:	889	0.742121	
_D:	890	0.741812	
_D:	891	0.741506	
_D:	892	0.741201	
_D:	893	0.740897	
_D:	894	0.740595	
_D:	895	0.740295	
_D:	896	0.739996	
_D:	897	0.739699	
_D:	898	0.739403	
_D:	899	0.739109	
_D:	900	0.738817	
_D:	901	0.738526	
_D:	902	0.738236	
_D:	903	0.737947	
_D:	904	0.73766		
_D:	905	0.737375	
_D:	906	0.73709		
_D:	907	0.736807	
_D:	908	0.736525	
_D:	909	0.736245	
_D:	910	0.735965	
_D:	911	0.735687	
_D:	912	0.73541		
_D:	913	0.735134	
_D:	914	0.734859	
_D:	915	0.734585	
_D:	916	0.734312	
_D:	917	0.73404		
_D:	918	0.73377		
_D:	919	0.7335		
_D:	920	0.733231	
_D:	921	0.732963	
_D:	922	0.732696	
_D:	923	0.73243		
_D:	924	0.732164	
_D:	925	0.7319		
_D:	926	0.731636	
_D:	927	0.731373	
_D:	928	0.73111		
_D:	929	0.730849	
_D:	930	0.730588	
_D:	931	0.730328	
_D:	932	0.730068	
_D:	933	0.729809	
_D:	934	0.729551	
_D:	935	0.729293	
_D:	936	0.729036	
_D:	937	0.728779	
_D:	938	0.728523	
_D:	939	0.728267	
_D:	940	0.728012	
_D:	941	0.727757	
_D:	942	0.727502	
_D:	943	0.727248	
_D:	944	0.726994	
_D:	945	0.72674		
_D:	946	0.726487	
_D:	947	0.726234	
_D:	948	0.725981	
_D:	949	0.725728	
_D:	950	0.725475	
_D:	951	0.725223	
_D:	952	0.724971	
_D:	953	0.724719	
_D:	954	0.724466	
_D:	955	0.724214	
_D:	956	0.723962	
_D:	957	0.72371		
_D:	958	0.723458	
_D:	959	0.723205	
_D:	960	0.722953	
_D:	961	0.7227		
_D:	962	0.722448	
_D:	963	0.722195	
_D:	964	0.721941	
_D:	965	0.721688	
_D:	966	0.721434	
_D:	967	0.72118		
_D:	968	0.720926	
_D:	969	0.720671	
_D:	970	0.720415	
